title,description,url,category
Marvel Rivals' Recent Layoffs Affected 6 People in NetEase's US Office - 80.lv,"The initial reports about ""significant layoffs"" at NetEase turned out to be significantly exaggerated.",https://80.lv/articles/marvel-rivals-recent-layoffs-affected-6-people-from-netease-s-us-office/,technology
iPhone 16E Name is Increasingly Likely Instead of iPhone SE 4 - MacRumors,"Apple is expected to announce a new entry-level iPhone model tomorrow, and it is increasingly likely that the device will be named iPhone 16E.   Most...",https://www.macrumors.com/2025/02/18/iphone-16e-name-is-likely/,technology
Google app on iOS removing Gemini as it pushes users to full app - 9to5Google,The Google app for iOS is removing Gemini support as the company pushes iPhone users to the full Gemini app.,http://9to5google.com/2025/02/18/google-app-removes-gemini/,technology
OnePlus Watch 3 is missing an important feature in the US and Canada - GSMArena.com news - GSMArena.com,The company has come clean about the limitation. Earlier today OnePlus made the Watch 3 official without much fanfare. It builds upon the seeming success...,https://www.gsmarena.com/oneplus_watch_3_is_missing_an_important_feature_in_the_us_and_canada-news-66603.php,technology
‘Pokémon Go’ Maker Nears $3.5 Billion Deal to Sell Games Unit - Bloomberg,"Niantic Inc., the company behind the 2016 hit Pokémon Go, is in talks to sell its video-game business to Saudi Arabia-owned Scopely Inc., according to several people familiar with the discussions.",https://www.bloomberg.com/news/articles/2025-02-19/-pokemon-go-maker-nears-3-5-billion-deal-to-sell-games-unit,technology
Batman: Arkham games among those losing PhysX powers on newer Nvidia GPUs - Ars Technica,The 32-bit tech on older games can’t bring snazzy effects forward.,https://arstechnica.com/gadgets/2025/02/batman-arkham-games-among-those-losing-physx-powers-on-newer-nvidia-gpus/,technology
Humane is shutting down the AI Pin and selling its remnants to HP - The Verge,"HP has acquired Humane, its AI platform Cosmos, and its employees for $116 million following the rocky rollout of its AI Pin.",https://www.theverge.com/news/614883/humane-ai-hp-acquisition-pin-shutdown,technology
Huawei’s record-breaking Mate XT tri-fold is officially available worldwide - 9to5Google,The tri-fold market is officially off to a hot start as Huawei has announced the now globally available Mate XT....,http://9to5google.com/2025/02/18/huawei-mate-xt-launch-global/,technology
Microsoft warns that the powerful XCSSET macOS malware is back with new tricks - Ars Technica,XCSSET has been targeting Mac users since 2020.,https://arstechnica.com/security/2025/02/microsoft-warns-that-the-powerful-xcsset-macos-malware-is-back-with-new-tricks/,technology
Auto-Download Your Kindle Books Before February 26th Deadline - Hackaday,"With the news that Amazon will no longer be allowing users to download their Kindle books after February 26th, many are scrambling to download their books before it’s too late. The most up-to…",https://hackaday.com/2025/02/18/auto-download-your-kindle-books-before-february-26th-deadline/,technology
