title,description,url,category,full_content,summary
Marvel Rivals' Recent Layoffs Affected 6 People in NetEase's US Office - 80.lv,"The initial reports about ""significant layoffs"" at NetEase turned out to be significantly exaggerated.",https://80.lv/articles/marvel-rivals-recent-layoffs-affected-6-people-from-netease-s-us-office/,technology,"""We recently made the difficult decision to adjust Marvel Rivals' development team structure for organizational reasons and to optimize development efficiency for the game. This resulted in a reduction of a design team based in Seattle that is part of a larger global design function in support of Marvel Rivals. We appreciate the hard work and dedication of those affected and will be treating them confidentially and respectfully with recognition for their individual contributions.

We want to reassure our fanbase that the core development team for Marvel Rivals, which continues to be led by Lead Producer Weicong Wu and Game Creative Director Guangyun Chen in Guangzhou, China, remains fully committed to delivering an exceptional experience. We are investing more, not less, into the evolution and growth of this game. We're excited to deliver new super hero characters, maps, features, and content to ensure an engaging live service experience for our worldwide player base.""","""We recently made the difficult decision to adjust Marvel Rivals' development team structure for organizational reasons,"" the company said. ""We are investing more, not less, into the evolution and growth of this game,"" it added."
iPhone 16E Name is Increasingly Likely Instead of iPhone SE 4 - MacRumors,"Apple is expected to announce a new entry-level iPhone model tomorrow, and it is increasingly likely that the device will be named iPhone 16E.   Most...",https://www.macrumors.com/2025/02/18/iphone-16e-name-is-likely/,technology,"Apple is expected to announce a new entry-level iPhone model tomorrow, and it is increasingly likely that the device will be named iPhone 16E.



Most rumors have referred to the device as a new iPhone SE, since it will succeed the iPhone SE (3rd generation), but there is mounting evidence that the device will be named iPhone 16E instead of iPhone SE (4th generation).

As a refresher, the iPhone 16E name was first mentioned in December by Fixed Focus Digital, an account with more than two million followers on Chinese social media platform Weibo. Later that month, a leaker known as Majin Bu on X also cited a source who claimed that the next iPhone SE will actually be named iPhone 16E.

In a follow-up post today, Majin Bu cited a source who has apparently seen an iPhone box with the name iPhone 16E on it. In addition, Bloomberg's Mark Gurman believes that Apple CEO Tim Cook's teaser post about a ""new member of the family"" being announced this Wednesday suggests that the device will indeed have a new name. And last, there are several Amazon listings for so-called iPhone 16E cases, although that could be guesswork.



The device is rumored to feature a larger 6.1-inch OLED display, Face ID, an A18 chip, a USB-C port, Apple Intelligence support, an Apple-designed 5G modem, and more. Apple should reveal pricing and a release date tomorrow.",Apple is expected to announce a new entry-level iPhone model tomorrow. There is mounting evidence that the device will be named iPhone 16E instead of iPhone SE.
Google app on iOS removing Gemini as it pushes users to full app - 9to5Google,The Google app for iOS is removing Gemini support as the company pushes iPhone users to the full Gemini app.,http://9to5google.com/2025/02/18/google-app-removes-gemini/,technology,"Google is informing iOS users that it will be removing Gemini support from the main Google app as it pushes users over to the full Gemini app.

One of the first ways to access Gemini on iOS was through the main Google app, which offered a switcher between Google Search and Gemini for several months. However, as Google has built out the Gemini experience, new features have been missing from the Google app – a key example being Gemini Live. That’s because Google has been focused on the full Gemini app for iOS, which launched in November.

Now, Google is letting iPhone and iPad users know that Gemini is “no longer available” in the Google app.

In an email sent to users, Google says that “Gemini is no longer available in the Google app,” emphasizing that “Gemini is now available as its own app, and that’s now the best place to use Gemini.” The email reads in part:

We’re making some changes to create an even better Gemini experience on iOS. Gemini is now available as its own app, and that’s now the best place to use Gemini. To continue using Gemini, download the new Gemini app from the App Store. With the Gemini app, you’ll have access to all of the same features and more.

Google removed the switcher interface earlier this month, as we previously reported, but the experience is currently still live in the app via the “More” tab with Google app v356.0 on iOS. However, we previously noticed that a pop-up that directs users to instead download the full Gemini app for iOS via the App Store.

Some users may no longer be able to use Gemini in the Google app for iOS

More on Gemini:

Follow Ben: Twitter/X, Threads, Bluesky, and Instagram",Google is removing Gemini support from the main Google app for iOS. The move will push users over to the full Gemini app. Google says Gemini is now available as its own app and that’s now the best place.
OnePlus Watch 3 is missing an important feature in the US and Canada - GSMArena.com news - GSMArena.com,The company has come clean about the limitation. Earlier today OnePlus made the Watch 3 official without much fanfare. It builds upon the seeming success...,https://www.gsmarena.com/oneplus_watch_3_is_missing_an_important_feature_in_the_us_and_canada-news-66603.php,technology,"Earlier today OnePlus made the Watch 3 official without much fanfare. It builds upon the seeming success of the OnePlus Watch 2 and OnePlus Watch 2R with an even bigger battery that should last for up to five days for normal use and even up to three days with intensive use.

There's also support for ECG readings, but there's a catch regarding this function. Namely, it's not going to be available in the US and Canada because OnePlus didn't receive official certification from the FDA for the Watch 3's ECG capabilities.

Thus, the ECG Analyzer feature won't be available in those countries. You'll still get a version of the new 60-Second Health Check-In feature in the US and Canada, one that will not include ECG readings, starting at some point in the second quarter of this year (so between April and June).

This comes straight from OnePlus, which has issued a statement on the matter to 9to5Google. It's obviously unfortunate that the ECG feature won't be working everywhere, but at least the company has come forward revealing the limitations on the first day of pre-orders, so you can make an informed buying decision on the new wearable.

Speaking of which, the OnePlus Watch 3 is now up for pre-order for $329 / €349 / £319. Shipping will start on February 25 in some countries, and in early March in others. Do also note that your local OnePlus site might have an extra discount from the RRP if you pre-order.","The Watch 3 has support for ECG readings, but there's a catch regarding this function. It's not going to be available in the US and Canada because OnePlus didn't receive official certification from the FDA. You'll still get a version of the new 60-Second Health Check-In feature."
‘Pokémon Go’ Maker Nears $3.5 Billion Deal to Sell Games Unit - Bloomberg,"Niantic Inc., the company behind the 2016 hit Pokémon Go, is in talks to sell its video-game business to Saudi Arabia-owned Scopely Inc., according to several people familiar with the discussions.",https://www.bloomberg.com/news/articles/2025-02-19/-pokemon-go-maker-nears-3-5-billion-deal-to-sell-games-unit,technology,Full article unavailable. Click the source link for details.,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots from around the world.
Batman: Arkham games among those losing PhysX powers on newer Nvidia GPUs - Ars Technica,The 32-bit tech on older games can’t bring snazzy effects forward.,https://arstechnica.com/gadgets/2025/02/batman-arkham-games-among-those-losing-physx-powers-on-newer-nvidia-gpus/,technology,"Most PC games that you can play on a modern PC would run faster on an Nvidia RTX 5080 or 5090 than, say, a GTX 1070. But some games, from a particular phase of enthusiasm for particles, destructible environments, and smooth-moving hair, will take a notable hit if their owners upgrade to the latest Nvidia cards.

That's because PhysX, once a dedicated physics simulation tool and card that became a selling point for Nvidia's gear, has been largely deprecated on Nvidia 50-series cards. The transition was announced in January, but it seems to have taken some time for someone to notice the impact on 32-bit, PhysX-enabled games (as seen by PCGamesN). The most recent of these affected games, Assassin's Creed IV: Black Flag, came out in 2013.

What follows is a brief primer on PhysX: what it was, what it did, and why it's left out of Nvidia's road map.

Credit: CD Projekt Red Ten thousand to 40,000 strands of tessellated, HairWorks-enhanced hair on this Polish legend. Ten thousand to 40,000 strands of tessellated, HairWorks-enhanced hair on this Polish legend. Credit: CD Projekt Red

From Citadel Station to Geralt’s hair

Many years ago, if you wanted impressive physics in your game, someone had to build it in code. Seamus Blackley, who would one day create and design the Xbox, took his graduate-level physics knowledge and applied it to System Shock, making it the rare game where the player's body had real mass to it and grenades bounced off walls like you might think they would.

These days, game engines like Unity can handle a lot of the physics thinking for developers. But in the years between, there was PhysX. PhysX started as a simulation engine from a Swedish firm, NovodeX, then was acquired by Ageia in 2004 and expanded to include hardware cards.

PhysX cards held such promise that, at one point, Tim Sweeney—back then, known primarily for Unreal Tournament—considered adding support for a PhysX card for the 2007 version of his game.

But Nvidia bought Ageia in 2008 and got to work incorporating PhysX into its own GPUs. The newly green-hued PhysX showed up as an SDK available to all PlayStation 3 developers, and Nvidia made outreach efforts to get developers thinking about PhysX support from the beginning. It worked, to some extent, with games like Mafia II and Batman: Arkham City showing off advanced particle, collision, and other physics effects. You could shoot a wall and leave holes in it, and smoke didn't look so much like a flat sprite trick, but a real thing that took up space.","PhysX, once a dedicated physics simulation tool and card that became a selling point for Nvidia's gear, has been largely deprecated on Nvidia 50-series cards. The transition was announced in January, but it seems to have taken some time for someone to notice the impact. The most recent of these affected games, Assassin's Creed IV: Black Flag, came out in 2013."
Humane is shutting down the AI Pin and selling its remnants to HP - The Verge,"HP has acquired Humane, its AI platform Cosmos, and its employees for $116 million following the rocky rollout of its AI Pin.",https://www.theverge.com/news/614883/humane-ai-hp-acquisition-pin-shutdown,technology,"is a news editor covering technology, gaming, and more. He joined The Verge in 2019 after nearly two years at Techmeme.

Humane is selling most of its company to HP for $116 million and will stop selling AI Pin, the company announced today.

AI Pins that have already been purchased will continue to function normally until 3PM ET on February 28th, Humane says in a support document. After that date, Pins will “no longer connect to Humane’s servers.” As a result, AI Pin features will “no longer include calling, messaging, AI queries / responses, or cloud access.” Humane is also encouraging users to download any pictures, videos, and notes stored on their Pins before they are permanently deleted at that shutdown time.

After the shutdown, offline features like “battery level” will still work, Humane says, but “any function that requires cloud connectivity like voice interactions, AI responses, and .Center access” will not.

Humane will only offer refunds on AI Pins that are “within the 90-day return window from their original shipment date,” according to an FAQ about the shutdown. Refunds “must be submitted by February 27th, 2025.” If you have paid for a Humane subscription past February 28th, Humane says “..we will process a prorated refund.”

Anyone who had been waiting for a replacement charging case following its recall will “automatically receive a refund for the portion of your original purchase price that was allocated to the Charge Case after February 28, 2025.”

HP is buying Humane’s CosmOS, bringing on Humane technical staff, and will get more than 300 patents and patent applications, Humane says in its press release.

Humane reportedly started looking for a buyer shortly after the launch of the AI Pin at a price as high as $1 billion — a lot more than the $116 million acquisition price announced today. And the AI Pin appears to have sold quite poorly, with The Verge reporting in August that daily returns were outpacing sales. Humane cut the price of the Pin in October.

And while Humane did end up adding some new features to the AI Pin’s CosmOS software, the company also appeared to be attempting a pivot to positioning CosmOS as an operating system other companies could put into their gadgets and devices.

Bloomberg reports that “Humane’s team, including founders Imran Chaudhri and Bethany Bongiorno, will form a new division at HP to help integrate artificial intelligence into the company’s personal computers, printers and connected conference rooms,” per an HP executive. The new team will be called HP IQ, which will be “HP’s new AI innovation lab focused on building an intelligent ecosystem across HP’s products and services for the future of work,” according to an HP press release.","Humane is selling most of its company to HP for $116 million and will stop selling AI Pin. Pins that have already been purchased will continue to function normally until 3PM ET on February 28th. After that date, Pins will “no longer connect to Humane’s servers.”"
Huawei’s record-breaking Mate XT tri-fold is officially available worldwide - 9to5Google,The tri-fold market is officially off to a hot start as Huawei has announced the now globally available Mate XT....,http://9to5google.com/2025/02/18/huawei-mate-xt-launch-global/,technology,"The tri-fold market is officially off to a hot start as Huawei has announced the now globally available Mate XT. Huawei is happy to brag about a few broken records, considering the phone is the first tri-fold commercially available.

Up until now, users have been trying to adjust to a new type of device in the foldable phone, which only has two viewable screen formats. The tri-fold is a whole new corner, allowing users to use the device in not only the open and closed phase but also a third, larger tablet-like phase.

Huawei’s Mate XT is the first commercially available tri-fold device. It first launched in China but the Mate XT is now available on a global scale, except in the US. Other companies like Samsung have publicly toying with tri-fold concepts, but Huawei is ready to get it out into the world as is.

The Mate XT has two hinges, with one side bearing a vulnerable foldable glass edge. When closed, it comes in at 6.4 inches. The first unfold uncovers a 7.9-inch screen, while the second unfold will open the phone up to 10.2 inches, which is the size of a modern tablet — not exactly a small one.

Huawei likes to boast that the Mate XT is the largest tri-fold device available. This is true, but only because it’s the only tri-fold device available. When another crops up, it might not be bigger than the Mate XT simply because this early in the design phase for many companies, there isn’t one right way to do it. We saw this with foldables like the first Pixel Fold and Oppo Find N2. Huawei also notes that the now global Mate XT is the world’s thinnest foldable when unfolded. At 3.6mm, it even beats the Oppo Find N5’s 4.47mm. Of course, when folded up, the Mate XT comes out to 10.8mm thick.

The Mate XT is going to be an eye-catcher out in the wild, and it’s now accessible globally outside of China.","Huawei’s Mate XT is the first commercially available tri-fold device. The first unfold uncovers a 7.9-inch screen, while the second unfold will open. When closed, it comes in at 6.4 inches. It is now available on a global scale, except in the US."
Microsoft warns that the powerful XCSSET macOS malware is back with new tricks - Ars Technica,XCSSET has been targeting Mac users since 2020.,https://arstechnica.com/security/2025/02/microsoft-warns-that-the-powerful-xcsset-macos-malware-is-back-with-new-tricks/,technology,"Microsoft said it has detected a new variant of XCSSET, a powerful macOS malware family that has targeted developers and users since at least 2020.

The variant, which Microsoft reported Monday, marked the first publicly known update to the malware since 2022. The malware first came to light in 2020, when security firm Trend Micro said it had targeted app developers after spreading through a publicly available project the attacker wrote for Xcode, a developer tool Apple makes freely available. The malware gained immediate attention because it exploited what, at the time, were two zero-day vulnerabilities, a testament to the resourcefulness of the entity behind the attacks.

In 2021, XCSSET surfaced again, first when it was used to backdoor developers’ devices and a few months later when researchers found it exploiting what at the time was a new zero-day.

New enhanced features

Microsoft said it has detected the new variant in limited attacks so far. Improvements in it include:","Microsoft says it has detected a new variant of XCSSET, a powerful macOS malware family. The malware first came to light in 2020, when security firm Trend Micro said it targeted developers."
Auto-Download Your Kindle Books Before February 26th Deadline - Hackaday,"With the news that Amazon will no longer be allowing users to download their Kindle books after February 26th, many are scrambling to download their books before it’s too late. The most up-to…",https://hackaday.com/2025/02/18/auto-download-your-kindle-books-before-february-26th-deadline/,technology,"With the news that Amazon will no longer be allowing users to download their Kindle books after February 26th, many are scrambling to download their books before it’s too late. The most up-to-date project for automating this process appears to be Amazon Kindle Bulk Downloader.

As the company that famously removed 1984 from thousands of devices without users permission, this is a move that shouldn’t be surprising, but is still disappointing, especially for those of us that were somewhat early adopters of ebooks with Kindles that don’t have a WiFi connection. (Yes, you can tell us about how you bought a Sony reader before the Kindle even came out in the comments.)

The Typescript-coded tool runs inside bun which can be installed in any of the big three OSes and even has a handy Docker image if that’s more your speed. Whether you use this tool or not, if you have any Kindle books we’d implore you to download them now.

Once you’ve downloaded those books, how about cracking the DRM either with LEGO or with software like Calibre. You could load it on a completely Open Source Reader then.",Kindle users can no longer download books from Amazon without permission. The company has released a tool to make it easier for users to download their books.
