title,description,url,category,full_content
"Apple’s M5 chip release will remedy an unpopular M4 decision, per report - 9to5Mac","The next-generation M5 chip is expected to debut this fall, and when it does, Apple will reportedly remedy an unpopular M4 decision it made.",https://9to5mac.com/2025/02/18/apples-m5-chip-release-will-remedy-an-unpopular-m4-decision-report/,technology,"Apple’s M4 rollout isn’t yet complete, with the M4 MacBook Air expected to launch soon. But the M5 chip is expected to debut this fall, and when it does, Apple will reportedly remedy an unpopular M4 decision.

M5 chip coming first to the Mac, not Apple’s new iPad Pro

Over the weekend, Mark Gurman reported on the first devices expected to feature Apple’s M5 chip. And in doing so, he identified a key change from the company’s M4 approach.

He writes at Bloomberg:

the M5 chip transition will begin — alongside new MacBook Pro models in the fall. Then we should get an M5 iPad Pro by the first half of 2026. In other words, the M4 and M5 chip transitions will see their release orders flipped, with the M5 coming to the Mac before the iPad Pro.

Last May, Apple surprised many of us by debuting its brand new M4 chip not in a Mac, but in the new iPad Pro.

It then took a full six months before a single Mac gained the new chip.

While iPad Pro users like myself enjoyed getting the latest chip first, it was an especially unpopular move for Mac users. In part, no doubt, because of the long wait for the first M4 Macs to arrive in November.

But with the M5 line this fall, Apple appears to be reversing course and going back to its former strategy of launching new M-class chips on the Mac. In this case, with the new MacBook Pro.

And since the MacBook Pro will be the first M5 device, we should see not only the base M5 chip debut, but also the M5 Pro and M5 Max at the same time—just like what happened with the M3 line in 2023.

Did you take issue with Apple giving iPad Pro the M4 first? Why or why not? Let us know in the comments.

Best Mac accessories"
Tetris Forever Is Getting Its Own Collectable Handheld Console - Nintendo Life,Digital Eclipse's 'Gold Master Series' Goes Physical,https://www.nintendolife.com/news/2025/02/tetris-forever-is-getting-its-own-collectable-handheld-console,technology,"Digital Eclipse has announced that its Gold Master Series will be going physical via publisher Clear River Games, with boxed editions available for The Making of Karateka, Llamasoft: The Jeff Minter Story, and Tetris Forever.

The crown jewel of the collection is undoubtedly the collector's edition for Tetris Forever. Priced at $139.99 (€139.99), this will come with its own bespoke handheld unit that will play Tetris (Famicom) and Tetris 2 + BomBliss.

Also included is an exclusive soundtrack CD, tetrimino magnets, woven patches, and a poster. This will all come housed in a fancy modular tetrimino box, and it honestly looks wonderful.

The Making of Karateka and Llamasoft: The Jeff Minter story will also receive special deluxe editions priced at $69.99 (€69.99) each. These will come with unique goodies specially selected for each title, and we're really quite taken with the glasses and bandana in the Llamasoft physical edition. Groovy.

Of course, if you'd rather just own the bog-standard edition of each game, these will be available at $34.99 (€34.99) each. Pre-orders will become available from 25th February 2025 from Atari's website, Limited Run Games, and select retailers internationally.

We're big fans of all three titles from the Gold Master Series so far, awarding The Making of Karateka a score of 8/10, Llamasoft: The Jeff Minter Story a score of 9/10, and Tetris Forever a score of 8/10."
Skater Tyshawn Jones claims to be in upcoming Tony Hawk game remaster - Gematsu,"Professional skateboarder Tyshawn Jones is in an upcoming Tony Hawk video game remaster, he told Power 105.1 FM’s The Breakfast Club in an interview today.",https://www.gematsu.com/2025/02/skater-tyshawn-jones-claims-to-be-in-upcoming-tony-hawk-game-remaster,technology,"Professional skateboarder Tyshawn Jones is in an upcoming Tony Hawk video game remaster, he told Power 105.1 FM’s The Breakfast Club in an interview today.

When discussing new skateboarding video games, Jones said, “I’m in a Tony Hawk coming out, so that’s cool—they got a new one they’re remastering, so that’s about to come out. I was [also] in the last one [Tony Hawk’s Pro Skater 1 + 2].”

The latest entry in the Tony Hawk video game series, Tony Hawk’s Pro Skater 1 + 2, launched for PlayStation 4, Xbox One, and PC via Epic Games Store on September 4, 2020, followed by PlayStation 5 and Xbox Series on March 26, 2021, Switch on June 25, 2021, and PC via Steam on October 3, 2023.

Back in June 2022, Tony Hawk said that a Tony Hawk’s Pro Skater 3 + 4 was planned after Tony Hawk’s Pro Skater 1 + 2, but plans were shelved after developer Vicarious Visions was absorbed by Blizzard Entertainment. At the time, Hawk said, “I wish there was someway to bring it back. I mean, who knows? Maybe when all the dust settles, we’ll figure it out.”"
Nothing Phone (3a) officially has a 50MP periscope camera in a wild new design [Video] - 9to5Google,"In the lead-up to its next launch, Nothing continues to tease the Phone (3a) series, this time revealing the camera...",http://9to5google.com/2025/02/18/nothing-phone-3a-camera-design-teaser-video/,technology,"In the lead-up to its next launch, Nothing continues to tease the Phone (3a) series, this time revealing the camera specs and teasing the wild design of the rear camera module.

The Nothing Phone (3a) series is set to make its debut in just a couple of weeks, and ahead of that launch, Carl Pei’s company continues to tease what’s coming. This now includes a first look at the Nothing Phone (3a)’s updated cameras, which are now confirmed to include three 50MP sensors and one 8MP shooter.

In a video comparing the camera to the iPhone 16 Pro Max, Nothing details that the Phone (3a) will have a 50MP primary camera, a 50MP periscope telephoto camera, and an 8MP ultrawide camera on the back. There’s a third 50MP camera on the front for selfies. This is the first Nothing Phone with a telephoto camera lens.

The video goes on to detail various improvements to the Phone (3a)’s camera, including revealing that the periscope lens supports 3x optical zoom, 6x “lossless” zoom, and up to 60x zoom, the latter two using digital zoom to make up the difference. All four cameras support Ultra HDR and the main and front-facing cameras can both shoot 4K video.

In another teaser shared on Twitter/X, Nothing shows off the camera module that contains these camera sensors, and it looks pretty wild. Notably, it’s different from a prior design that leaked which had a design more similar to Pixel. Presumably, this device is the “Plus” or “Pro” variant.

The company also went on to share the full-res sample images, offering our first good look at the camera quality coming from the Nothing Phone (3a) series.

More on Nothing:

Follow Ben: Twitter/X, Threads, Bluesky, and Instagram"
Review: Sid Meier's Civilization VII (Switch) - An Incredible Game That's Not Quite Ready - Nintendo Life,Short of Civilliant,https://www.nintendolife.com/reviews/nintendo-switch/sid-meiers-civilization-vii,technology,"Most games with numbered sequels tend to iterate and grow on their previous instalments. After all, you don’t want to alienate your audience by upending key systems and creating a substantially different experience from what they’re used to, it just makes sound economic sense. Change things just enough so that it rides that line between familiarity and shininess.

Firaxis apparently missed this particular industry-wide memo, and thus the Civilization series will happily buck its own trends and well-established ideas in order to deliver something fresh every single time, and that is no less the case with Sid Meier’s Civilization VII, which we’ll be calling ‘Civ 7’ for the sake of our keyboard.

Captured on Nintendo Switch (Docked)

Let’s be clear, it sticks to the same broad ideas as ever, but tried and trusted mechanics have gone out the window; not because they didn’t work, but because, hey, it’s time to try something different.

As with every game prior, Civ 7 has you take on the role of a real-life world leader – each with their own unique bonuses and quirks – looking to explore, expand, exploit, and exterminate, and coining the ‘4X’ genre presumably named by people with first-letter blindness. In Civ 7 you’re going to need to try and achieve one (or realistically, more than one) of four goals before your opponents, and those four ‘E’s we mentioned earlier are the way to do it.

Simple, right? No, not right. The reality of the game is that there are a staggering number of ways to achieve your chosen goals, each with the potential to be as nuanced and calculated as a well-played game of chess. Or you could go full militaristic and nuke everyone else, declaring yourself the victor by default. However, it’ll be a while before you’ll be able to do so, at least with actual nuclear warheads, because Civ 7 changes the previous progression system by introducing three Ages of humanity.

Captured on Nintendo Switch (Docked)

You’ll start in Antiquity, which has you start at the literal birth of your new civilisation with nary but a settler to start your very first city. You’ll need to research advanced human technology such as pottery and what to do with animals and systematically work your way through all the major technological advancements of our species. And there’s not much in the way of shortcuts for this, unlike the previous entry in the series. You’re going to have to work for each and every one of these the old-fashioned way, or steal them from your neighbours.

Yes, diplomacy has had potentially the biggest overhaul this time around, mostly requiring you to use the new Influence points to better or intentionally worsen your relationship with the other blossoming nations. You can also actually see your leader as well during these moments, which is a nice touch.

A personal favourite addition to this system is the ability to ‘reject’ a denouncement from a rival, spending hard-earned Influence points to stop a leader from driving a wedge between your people. It’s a small addition, but one that makes a formal war feel more tied to public opinion than simply two leaders having beef. Whether that’s more true-to-life or not is debatable.

Captured on Nintendo Switch (Docked)

Following the Antiquity Age is the Exploration Age, and the way this change works is a little strange, but oddly refreshing. Your cities and towns remain the same, but you may have some of your units trimmed if you don’t have enough Commanders (oh, we’ll get onto them, don’t you worry) or settlements to house them properly.

It’s not entirely clear how the system works in its entirety, but the units you do keep will be upgraded to Age-appropriate examples. We’re still absolutely gutted that our Purabhettarahs were ‘upgraded’ to mere horses with blokes in the saddle, but apparently war elephants aren’t cool enough to survive into 400CE.

This transition almost feels like a ‘New Game Plus’ moment, where you’re sort of starting anew, sort of not. It helps to bookend each third of the game, and stops one player from potentially blasting a satellite into orbit whilst another is just working out how to make boats not sink. It also gives us the sense we’ve completed a game without having to sacrifice an entire weekend only for Harriet Tubman to go to war with us yet again, distracting King Xerxes from his honest scientific aims.

Captured on Nintendo Switch (Docked)

But the Exploration Age is all about just that - boats that don’t sink. You’ll be stretching out beyond the confines of your original landmass into the wide unknown, founding distant new settlements and finding exotic resources. In our first run, we didn’t even really check the settings properly due to a sudden lapse in competence and assumed that there were four civilisations on the planet, including our own. Reaching not only another entire continent but two new leaders was honestly kind of magical.

This is hardly a new feature, and we ourselves have already had this happen in previous games, but that moment of barely being able to cross a chunk of deep ocean only to be greeted by two new allies/enemies took us aback more than we expected, and more than it logically should. A really lovely experience.

After that is the Modern Age, where the guns and the tanks roam free. You’ll be digging up relics from the past, trying to win the space race, developing weapons of mass destruction, the whole megillah. Tensions are also higher than ever, forcing even the likes of Confucius into building up armies of dive bombers because Catherine the Great suddenly lost all affection for him.

Captured on Nintendo Switch (Docked)

In fact, let’s talk about combat for a moment. It is almost certainly possible to play an entirely pacifist game should you be skilled enough, but a player who doesn’t at least build a defensive force is a fool indeed. Alliances can sour quickly if you make the wrong move or don’t have the right number of influence points to make right what’s wrong and, as such, war – if not inevitable – is at least bloody likely.

Previous games in the series had you control each unit individually, and that’s sort of the same case here, except it’s also sort of not, thanks to the unrivalled blessing of Commanders. Commanders can ‘carry’ up to four units (or six, with a promotion) and march them across the land faster and much more effectively than they could on their own. They can’t fight themselves though, they’re purely a support unit.

The end result is that combat and wars are substantially easier to manage and control than in previous games. You’re going to want to make use of them though, as individual units can’t be promoted as before, only Commanders. Their promotion tree can make otherwise weak units far more potent than they have the right to be, guided as they are by a competent admiral/captain/head honcho. It’s a shame we can’t name them, as mowing down Benjamin Franklin’s Roman legion under the banner of the great commander Gromit would be a real point in the game’s favour.

Captured on Nintendo Switch (Docked)

And no, that wasn’t a mistake, we did say Benjamin Franklin’s Roman legion because leaders are no longer tied to their real-life civilisations. You can mix and match as merrily as you like, or you can keep things clean and historically accurate if you prefer, you’d be missing out though, as certain combinations can produce really beneficial results, or you can pick a somewhat worse combination if you’re looking for a really different run. You can even jump to the later two ages at the very start of a game if you like, skipping all that pesky need to research what rocks are good for. It’s all options, and options are good.

Unfortunately, the Switch version has slightly fewer options when it comes to setting up a game. Map sizes are limited to ‘Tiny’ and ‘Small’, no doubt due to hardware limitations, but considering Civ 6 managed far, far larger map sizes, it’s disappointing that they’re not even an option here.

At least there are efforts to allow crossplay for online games though, right? Right. Unfortunately, our attempts to join an online game were hampered by the fact that other platforms have already had a patch, meaning that the versions of the lobbies we tried to join were incompatible about 95% of the time. Quite irritating.

Captured on Nintendo Switch (Docked)

We were able to find an appropriate game eventually, though the game immediately crashed upon loading the map. Eventually, we did get a successful match going, but getting there wasn’t so much a headache as a full-blown migraine. It’s a real shame, too, as playing against real people is a much more interesting experience by default.

You’re likely expecting us to now detail how unstable the game is on Nintendo’s hybrid, but in all honesty, it was more reliable than we expected. We had a single crash mid-game in our 30-40 hours playing, although we did happen upon several other crashes at less critical moments, such as loading a saved game or linking a 2K account.

More than this, we’re sad to report that Civilization VII doesn’t really feel as finished as it should. We’ve encountered numerous bugs with duplicate ghosts of units long past just standing on a tile they were once on, music constantly stuttering and cutting out, controls occasionally misbehaving causing us to perform actions we didn’t want to perform, constant reminders that new resources are available to allocate when there absolutely are not any new resources at all, general UI weirdness, the list goes on. None of these are strictly game-breaking, but it's not what anyone wants to see.

Captured on Nintendo Switch (Docked)

The Civlopedia should also be a slam-dunk in the game’s favour, an in-game resource that tells you how everything works and even provides historical information about nigh-on everything within it, but it’s almost impossible to navigate. Categories seem arbitrary at best, and you can’t even reach the search box without using the touch screen, and even if you do manage to type something in, the actual searching appears to do nothing.

And it could be so useful. This series isn't renowned for its simplicity; there are countless systems and resources to keep track of and understand, which is wonderful in its own right, but it needs to be properly explained to the player, which the Civlopedia could do so easily. There are tutorials for first-time players, but certain aspects are overexplained, and others glossed over.

The Minus button is a dedicated ‘2K Account’ button, allowing you to see who’s online as well as the info of anyone you’re currently playing with. A sensible feature, but one that absolutely doesn’t need to have a dedicated button instead of simply an entry in the pause menu. If this was used to jump to the dedicated Civlopedia page of what you’re highlighting instead, it would be invaluable. As it is, it’s just a confusing bundle of pages.

Captured on Nintendo Switch (Docked)

Yet despite all these valid criticisms, we could barely pull ourselves away from it. The UI may be wonky in places, but on Switch it’s much cleaner and better scaled than Civ 6’s ballooned offering, particularly when docked. Gwendoline Christie's narration is a delight, the moment-to-moment gameplay and the thrill of a plan coming to fruition is deliciously rewarding, and the bitter taste of defeat successfully makes you loathe the leader that caused it rather than the game itself, which is a very difficult thing to get right.

It’s also brimming with wonderful little details, like a quote calling back to one of Eddie Izzard’s most beloved stand-up routines about flags, a memento that is a real-life stone tablet and one of the earliest examples of human writing complaining about the quality of shipment of copper, a similarly real stone with ‘catch’ engraved upon it, it’s overwhelming fun to anyone with a love of history/prehistory/British standup.

Performance on Switch is a bit mixed. Much like its predecessor, the uncapped frame rate will perform buttery smooth when zoomed right in, reaching up to the maximum of 60, but it's a fool's dream to believe you'll get this during normal gameplay. Generally you're going to expect between 20 and 30 frames a second, varying quite dramatically. Due to the game's turn-based nature this isn't a dealbreaker by any means, and aside from a few wonky models, the game manages to look rather nice, with plenty of detail when zoomed right out."
"‘Marvel Rivals’ Patch Leaks: Storm, Luna Snow Nerfs, Black Widow, Adam Warlock Buffs - Forbes","Marvel Rivals will be nerfing and buffing dozens of heroes in the 1.5 patch this week, here's a leak of what's coming.",https://www.forbes.com/sites/paultassi/2025/02/18/marvel-rivals-patch-leaks-storm-luna-snow-nerfs-black-widow-adam-warlock-buffs/,technology,
Xbox Game Pass latest February titles announced - Eurogamer,Microsoft has announced its line-up of Xbox Game Pass titles for the beginning of February.,https://www.eurogamer.net/xbox-game-pass-latest-february-titles-announced,technology,"Microsoft has announced its line-up of Xbox Game Pass titles for the latter half of February.

This begins with Avowed, which Microsoft also noted down in its list for the first half of the month too. Hmm! Otherwise, there's a thin selection of other titles on offer. Well, you're probably still playing with your fungus hero anyway.

Here's the full line-up of Xbox Game Pass titles for the rest of February:

Avowed - 18th February (Ultimate, PC)

EA Sports F1 24 - 20th February (Ultimate, PC)

Warhammer 40,000: Rogue Trader - 20th February (Standard, Ultimate, PC)

Watch Dogs: Legion - 20th February (Standard, Ultimate, PC)

To see this content please enable targeting cookies. Manage cookie settings Is this an Xbox? Probably yes.Watch on YouTube

All Game Pass subscribers, including those on the service's Standard tier, get post-Brexit London simulator Watch Dogs: Legion to play around with on 20th February. Enjoy its sunnier version of Britain's future, complete with crime-loving grannies and even more drones. Tactical turn-based isometric RPG Warhammer 40,000: Rogue Trader is available then, too.

Other than Avowed, Xbox Game Pass Ultimate and Game Pass PC subscribers this month also get EA Sports F1 24, should you prefer cars to magical combat.

As ever, whenever Microsoft giveth, it also taketh away. Nine games are set to leave Xbox Game Pass on 28th February, including several Yakuza titles and PAW Patrol World. Hopefully there's no tears:

F1 22 (Console and PC) - EA Play

Gris (Cloud, Console, and PC)

Maneater (Cloud, Console, and PC)

PAW Patrol World (Cloud, Console, and PC)

Space Engineers (Cloud, Console, and PC)

Warhammer 40,000: Boltgun (Cloud, Console, and PC)

Wo Long Fallen Dynasty (Cloud, Console, and PC)

Yakuza 3 Remastered (Cloud, Console, and PC)

Yakuza 4 Remastered (Cloud, Console, and PC)

If you want to keep playing these games after they leave Game Pass, you'll need to purchase them. On the plus side, Game Pass subscribers get a 20 percent discount.

For everything else in Microsoft's subscription service, you can check out Eurogamer's handy Xbox Game Pass guide detailing the many titles available."
Earth vs. Mars Announced by Company of Heroes Developer Relic Entertainment - IGN,"Company of Heroes developer Relic Entertainment is making a new, smaller-scale turn-based strategy game called Earth vs. Mars. It's due out this Summer on PC (via Steam).",https://www.ign.com/articles/earth-vs-mars-announced-by-company-of-heroes-developer-relic-entertainment,technology,"Company of Heroes developer Relic Entertainment is making a new, smaller-scale turn-based strategy game called Earth vs. Mars. It's due out this Summer on PC (via Steam). In it, players must defend our planet from Martian extraterrestrial attack by creating ""bizarre and powerful creature-human hybrids"" with the Splice-O-Tron. Examples include the Squirrel-Cow, Human-Rhino, and Cheetah-Fly. Gameplay is inspired by the Nintendo DS classic Advance Wars.

Relic says, ""For decades, Martians have been secretly visiting Earth, abducting humans and animals to harvest their atomic essence. Now, they’ve returned with a full-scale invasion, and it’s up to a ragtag group of commanders to lead Earth’s resistance. Players will command Earth’s military against high-tech Martian saucers, grav-tanks, and elite alien warriors in a desperate struggle for survival.""

Earth vs. Mars - First Screenshots 9 Images

Earth vs. Mars includes a 30+ mission single-player campaign, online multiplayer where you can play as either faction, a VS Mode to challenge yourself against the game's AI, and a map editor.

“We are excited to bring a Relic Twist to the Advance Wars style of gameplay, infusing some Relic DNA, while harkening back to some of our earlier titles,” said Relic CEO Justin Dowdeswell. “Relic Entertainment recently announced a new strategy: Alongside continuing to work on the traditional RTS titles that we’re known for, we’re also going to work on smaller Indie style games in order to explore new sub-genres, experiment, get our creative juices going, and release games more frequently.” You can wishlist it on Steam if you're interested.

Ryan McCaffrey is IGN's executive editor of previews and host of both IGN's weekly Xbox show, Podcast Unlocked, as well as our monthly(-ish) interview show, IGN Unfiltered. He's a North Jersey guy, so it's ""Taylor ham,"" not ""pork roll."" Debate it with him on Twitter at @DMC_Ryan."
Asus ROG Flow Z13 GZ302EA Convertible Review - AMD's Strix Halo GPU is neck-and-neck with the RTX 4070 Laptop - Notebookcheck.net,"Notebookcheck reviews the brand-new ROG Flow Z13 with AMD Ryzen AI Max+ 395, Radeon 8060S, 32 GB RAM and 180 Hz display.",https://www.notebookcheck.net/Asus-ROG-Flow-Z13-GZ302EA-Convertible-Review-AMD-s-Strix-Halo-GPU-is-neck-and-neck-with-the-RTX-4070-Laptop.963266.0.html,technology,
AMD Ryzen AI Max+ 395 Analysis - Strix Halo to rival Apple M4 Pro/Max with 16 Zen 5 cores and iGPU on par with RTX 4070 Laptop - Notebookcheck.net,"The new Ryzen AI Max+ 395 is AMD's latest high-end mobile processor. With up to 16 Zen 5 cores, a powerful Radeon GPU, fast NPU and up to 128 GB RAM, the Ryzen AI Max+ is supposed to be the ideal companion for gaming, content creation, and AI development.",https://www.notebookcheck.net/AMD-Ryzen-AI-Max-395-Analysis-Strix-Halo-to-rival-Apple-M4-Pro-Max-with-16-Zen-5-cores-and-iGPU-on-par-with-RTX-4070-Laptop.963274.0.html,technology,
